"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 18:58:58 GMT 2024","Mon Oct 28 18:58:58 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.01",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d1_gadt",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.call_cleanup_tests",""
"passed","Mon Oct 28 18:42:52 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","1","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.02",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_1000",""
"failed","Mon Oct 28 18:42:52 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","34","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.03",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d5_auto_types",""
"passed","Mon Oct 28 18:58:58 GMT 2024","Mon Oct 28 18:58:58 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.07",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.f1_moduleA",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer",""
"passed","Mon Oct 28 18:49:10 GMT 2024","Mon Oct 28 18:49:10 GMT 2024","2","","METTA-WAM-ISSUE-145","","METTA-WAM-ISSUE-145","","PRINT-GRAPH.03",""
"failed","Mon Oct 28 18:42:10 GMT 2024","Mon Oct 28 18:42:52 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bc_comp",""
"passed","Mon Oct 28 18:58:58 GMT 2024","Mon Oct 28 18:58:58 GMT 2024","14","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.09",""
"passed","Mon Oct 28 18:58:58 GMT 2024","Mon Oct 28 18:58:58 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.03",""
