"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.find_all_tests",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bchain",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.03",""
"passed","Mon Oct 28 21:44:41 GMT 2024","Mon Oct 28 21:44:41 GMT 2024","3","","METTA-WAM-ISSUE-145","","METTA-WAM-ISSUE-145","","PRINT-GRAPH.01",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.07",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d1_gadt",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","46","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN-COMP.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.f1_imports",""
"passed","Mon Oct 28 22:06:22 GMT 2024","Mon Oct 28 22:06:22 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","01-LANG-INC.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b2_backchain",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","F1-IMPORTS.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_100",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.base_test_repr_parse_intersection",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.f1_imports",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.tmpMatch1",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.06",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","14","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.04",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_5000",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","1","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.03",""
